categoria,email
Packaging,"From. Bob Singer/BSI/Brenntag <BSinger@brenntag.com> 
Sent. Tuesday. June 11. 2019 5.32 AM
To. Shah. Pravesh [CPCUS] <PShah55@ITS.JNJ.com>
Cc. Joseph Giaimo/BSI/Brenntag <JGiaimo@brenntag.com>. Brianne E. Snyder/BSI/Brenntag <BSnyder@brenntag.com>
Subject. [EXTERNAL] FW. Novo Nordisk - BKC Sol 50% - Pending Packaging Changes
Importance. High

Hi Pravesh.
We sent the attached notification letters out to Steven when he managed the category. but I wanted to pro-actively remind you and your team of the pending packaging changes on the Novo Nordisk Benzalkonium Chloride that is purchased from Brenntag Specialties under JNJ RM 013707.
Note that we have also sent these notification letters out to the contacts that we have on file at the following use points…………….
JNJ Health. Lititz. PA
Neutrogena. Los Angeles. CA
VeePak. Hodgkins. IL
KDC/Knowlton. Quebec. Canada
KIK/Rexdale. Ontario. Canada

It is expected that your use points will begin to see material utilizing new packaging configuration in late Q3 or early Q4 of this year. 

Could you please confirm that any necessary approvals of this change have been enacted on your end?
If there is anything additional that we need to do from our side. please advise what that might be.

Thanks in advance for the assistance.
Call me if we need to discuss.

Best Regards. 
Bob Singer
Corporate Accounts Executive
Life Sciences Group
Brenntag Specialties Inc.
1 Cragwood Road. Suite 302
South Plainfield. NJ 07080
Cellular. 410-382-3490
NJ Office. 800-732-0562
"
Packaging,"From. Edwards. Deb (D) <d.j.edwards@Dow.com> 
Sent. Wednesday. February 13. 2019 4.33 AM
To. PKGCHANGENOTIFICATION <RA-CPCUS-PKGCHGNOTIF@its.jnj.com>
Cc. Singh. Rajan [CPCUS] <rsingh85@ITS.JNJ.com>. Maxon. Bart (B) <bart.maxon@dow.com>. Dutriaux. Matthieu [CPCUS] <MDutriau@its.jnj.com>. Nayak. Sahana [LFSCH] <UNAYAK@its.jnj.com>
Subject. [EXTERNAL] Package change for Dow SunSpheres Powder 


Dear J&J Team 

To maintain our exceptional product quality and maximize our processing efficiencies. we will be changing the package size of SUNSPHERES POWDER. Estimated packaging change over date is July 1st.

This note is to confirm receipt of this notice and to seek your feedback that this change is acceptable or identify and any major concerns with the proposed packaging update.  

The purposed drum has the following highlights/changes that we need feedback on (see below).  You can also see a drawing of the purposed drum in the attached word document.  The drum structure and material of construction is the exact same. just dimensional changes.  For reference. there is a PDF attached of the current drum specification.  Again. structure and material of construct remains the same – just changes in the diameter and height of the drum.

- 22.5 inch diameter to 19.5 inches (outside diameter)
- 38 inch height to 37 inches
- Fill weight change from 50 kg to approximately 36 kg
o We do not have exact fill weight. we would look to optimize and run fill weight trial on next campaign

ACTION. Reply back to me by February 18th confirming that you are aware of this change and are willing to accept this packaging. 

Please let me know if you have any additional questions or concerns. I and greatly appreciate your support in this urgent need.

Please Note New Email Address. d.j.edwards@dow.com
Debra Edwards 
Senior Key Customer Manager 
Consumer Solutions  Home & Personal Care
The Dow Chemical Company  
Phone. 910-313-1378  |  email. d.j.edwards@dow.com
Mobile. 336.210.6909
"
Packaging,"Von. Spohrer. Maria
Gesendet. Dienstag. 27. November 2018 20.35
An. PKGchangenotification@its.jnj.com
Cc. Hartung. Christian. McClure. Kara
Betreff. Packaging change Evonik

Please see the attached letter regarding a packaging change.
 
 
 
 
Best regards.
Maria Spohrer
Product Compliance Specialist
Personal Care NA
Nutrition & Care
Personal Care
Phone +1 804 727 0753
Cell +1 804 316 8084
Fax +1 804 727 0851
maria.spohrer@evonik.com
 
Evonik Corporation
P. O. Box 34628
Richmond. VA 23234
USA
"
Packaging,"From. Sori. Mohit [JJISG] 
Sent. Tuesday. February 12. 2019 7.56 AM
To. Raw Material Center Quality <RA-CONUS-RawMatCente@its.jnj.com>
Cc. Dubey. Priti [CONIN] <PDUBEY7@ITS.JNJ.com>. Jang. Sang Jin (SJ) [CONKRSE] <sjang9@ITS.JNJ.com>
Subject. Fwd. STEARINERIE DUBOIS Information - Change of packing for pelletized products. paper bags of 25kg net weight by plastic bags in cardboard boxes of 20 kg net weight

FYA please. 
Sent from my iPhone

Begin forwarded message.
From. ""Lee. Syin Dee [JNJCH]"" <slee265@ITS.JNJ.com>
To. ""Cherniauskas. Rodrigo [CPCUS]"" <rchernia@its.jnj.com>. ""Sori. Mohit [JJISG]"" <MSori1@its.jnj.com>. ""Morais. Eliza [CONBR]"" <ESanto84@its.jnj.com>
Subject. FW. STEARINERIE DUBOIS Information - Change of packing for pelletized products. paper bags of 25kg net weight by plastic bags in cardboard boxes of 20 kg net weight
FYI if you are sourcing from Stearinerie Dubois.
 
Regards.
 
Syindee
 
From. Marylene Antonini <m.antonini@duboisexpert.com> 
Sent. Monday. February 11. 2019 2.23 PM
To. Lee. Syin Dee [JNJCH] <slee265@ITS.JNJ.com>
Cc. Nathalie Loubat <n.loubat@duboisexpert.com>
Subject. [EXTERNAL] STEARINERIE DUBOIS Information - Change of packing for pelletized products. paper bags of 25kg net weight by plastic bags in cardboard boxes of 20 kg net weight
Importance. High
 
Dear Ms SyinDee Lee.
 
I hope my email finds you well.
 
In accordance with our change control procedure. we would like to inform you that from March 1st 2019 (batch number beginning with 18031…). all products in paper bag form (25 kg net) will be packaged in plastic bags placed in cardboard boxes (20 kg net). This change is initiated to limit the risk of piercing packaging and the stability of packaging on pallets during transport and handling.
 
You will find attached all the documents to update your system.
- The information letter
- the technical sheet and the food certificate of the plastic bag
- The cardboard box technical sheet
 
 
 
 
Have a nice day. Best regards.
Marylene
 
Marylene ANTONINI
Cosmetic Sales Assistant 
Phone +33 (0)1 46 10 07 49
 
 
STEARINERIE DUBOIS
696 rue Yves Kermen 92658 Boulogne-Billancourt Cedex
Fax . +33 (0)1 49 10 99 48
www.stearinerie-dubois.com

"
Packaging,"From. Ling Wu <ling.wu@ingredients-plus.com> 
Sent. Tuesday. January 22. 2019 11.27 AM
To. Raw Material Center Quality <RA-CONUS-RawMatCente@its.jnj.com>
Cc. qianpandeng@babywipes.com.cn
Subject. [EXTERNAL] The package of AFE1520

DEAR. 

Due to the small amount of your company’s needs，the package of AFE-1520 we offer you is 500ml.

If there is any problem. please contact me at any time.

Thanks!
Best Regards.
wuling
 
 
              
 
吴凌
wuling
资深客户经理
Senior Account Manager
澳萃贸易(上海)有限公司
Ingredients Plus (Shanghai) Co..Ltd.
p.+(86)2164386755  m.+(86) 13764395988
e.ling.wu@ingredients-plus.com
a. Room203.
BuildingB.No.10.Lane1305.HuaJingRoad.XuHui District.ShangHai200231.China.
    
"
Packaging,"Main Changes.
- Dimensions
o Diameter of drum.  22.5 inch to 19.5 inches (outside diameter)
o Height of drum.  38 inch height to 37 inches
- Fill weight. 50 kg to 45 kgs
 
All other items will remain unchanged including the material of construction of the drum. drum liner. and bag.

Qualquer dúvida. não hesite em me contatar.

Grato.
Raphael Palma
Account Manager
Dow Consumer Solutions
Dow Brasil Sudeste Industrial Ltda.
"
Shelf Life,"From. Mary Bellamy <mbellam@pharma-tech.com> 
Sent. Tuesday. August 28. 2018 11.51 AM
To. Notaro. Stephanie [CPCUS] <SNotaro@its.jnj.com>
Subject. [EXTERNAL] Zinc Oxide shelf life (Shelf Life = 12 months -- per new SDS)
Importance. High

Stephanie. Zochem sales rep (Rob Kaplan) visited Pharma Tech on August 21st.  In this meeting we reviewed Zinc Oxide ordering information and I asked him to confirm shelf life.  In the emails below. Rob replied back to me that the shelf life was not 6 months but now 12 months.  The Customer Service at Zochem sent the current SDS (2nd attachment) and section 10.6.2 does list Shelf life.  One year from date of manufacturing. etc.

1st attachment 
• Page 1 =  SDS. section 10.6.2 Degradation.  I highlighted Shelf Life “one year from date of manufacturing. etc...”
o The full SDS is in attachment #2
• Page 2 =  Johnson & Johnson’s RM Spec page 5 showing Shelf Life at 6 months.  
o Current RM Spec # is.  RM-015379. Rev 5

With this information. will Johnson & Johnson now change the RM Spec RM-015379 to 12 months shelf life?

Would you please let me know.

Thank you.

 
MARY BELLAMY | Purchasing Manager 
o. 706.246.3505 | mbellam@pharma-tech.com
W E   M A K E   P R O D U C T S   T H A T   F U L F I L L   P R O M I S E S 
"
Shelf Life,"From. Brown. Steven [CPCUS] 
Sent. Thursday. 30 August 2018 17.27
To. Van de Steen. Annelene [JANBE] <avandest@ITS.JNJ.com>
Cc. Viville. Gert [GPSBE] <GVIVILLE@its.jnj.com>. Elsaied. Mohamed [CPCUS] <melsaie1@ITS.JNJ.com>. Murray. Robert [CPCUS] <rmurray8@its.jnj.com>
Subject. Re. Shelf life extension GLYCERINE (code 655133) for Visine
 
Annelene.
 
I am currently on a GROW assignment outside of Consumer.  Please contact the Raw Material Center and Robert Murray regarding this RM change.
Steve

On Aug 30. 2018. at 7.12 AM. Van de Steen. Annelene [JANBE] <avandest@ITS.JNJ.com> wrote.
Dear Steven.
 
This email to inform you that it was requested to extend our shelf life for code 655133  - GLYCERINE PHARMA GRADE. used for Visine. Currently. we use a shelf life of 1 year. The supplier of this raw material has extended the shelf life period from one to two years. Supplier has stability data available. see mail received last year from supplier.
Prolongation of storage period of Edenor G 99.8 PH in closed original packaging
Dear valued customer.

We are pleased to inform you today that we are able to extend the stability period of Edenor G® 99.8 PH in the sealed original container (drums and/or IBC) while maintaining the storage temperature of max. 25 ° C from one to two years.

The extension is based on stability tests carried out in the original packaging over 2 years. which have shown that the goods are within specification for this period of time.

This change will be implemented for all batches that will be filled up into drums or IBC after the 1st of June 2017. The corresponding re-certification date is noted on the packaging labels as well as on the certificate of analysis.
Please understand that this change cannot be implemented for batches we currently have on stock or short deliveries.
Since a change in shelf life requires also spec update. I wanted to know if you see any concerns. Can you please advise?
Kind regards.
Annelene 
"
Shelf Life,"From. Meghan Rushing <meghan.rushing@basf.com> 
Sent. Saturday. September 29. 2018 1.48 AM
To. Raw Material Center Quality <RA-CONUS-RawMatCente@its.jnj.com>. Celis. Pedro [CPCUS] <PCELIS@its.jnj.com>
Cc. Samantha H Leible <samantha.hetherington@basf.com>
Subject. [EXTERNAL] Rheocare TTA - Change in Shelf Life

Hello.

Please see attached the communication concerning a change in shelf life for Rheocare TTA.

Should you have any questions. please reach out to me.

Thanks.

Meghan

Dr. Meghan Rushing
Global Technical Key Account Manager

Phone. +1 914 785-3817. Mobile. +1-845-743-3837. Email. meghan.rushing@basf.com
Postal Address. BASF Corporation . . 500 White Plains Road. 10591 Tarrytown. United States
 
BASF Corporation
"
Shelf Life,"From. Healey. Jennifer <jhealey@UngererAndCompany.com> 
Sent. Friday. September 14. 2018 1.02 PM
To. Krueger. Beatriz [CONBR] <bkrueger@its.jnj.com>
Cc. Regan. Kimberly <kregan@UngererAndCompany.com>. Waer. Dave <dwaer@UngererAndCompany.com>. Dias. Rebeca [CONBR] <RDias15@its.jnj.com>. Cabral. Mariana [CONBR] <MCabral4@its.jnj.com>
Subject. [EXTERNAL] FW. Troubleshooting - ERP 136065 LT FORN 50737R
 
Hi Beatriz.
 
Kindly please be advised that the correct shelf life is 24 months. The updated spec sheet is attached here for your reference. 
 
Please let us know if you need anything further.
 
Thank you!
Jennifer 
"
Shelf Life,"From. Raw Material Center Quality 
Sent. Friday. November 30. 2018 6.48 PM
To. Lee. Chao Lin [JJISG] <clee140@its.jnj.com>. Xu. Erin [CONCN] <Jyxu@its.jnj.com>. Miceli. Serena [CONIT] <smiceli2@its.jnj.com>. Jorza. Roxana [CONCH] <rjorza@ITS.JNJ.com>. Houdu. Guillaume [CONFR] <ghoudu@its.jnj.com>. Slusars. Bruna Carla [CONBR] <bslusars@its.jnj.com>. Arias. Andres Mauricio [CONCO] <aarias12@its.jnj.com>. Torraca. Juliana [CONBR] <jtorraca@its.jnj.com>. Yoshizane. Míriam [CONBR] <myoshiza@its.jnj.com>. Semprini. Maria Carolina [CONBR] <msemprin@its.jnj.com>. NA_RMC_Supplierchanges <RA-CPCUS_NA_RMC_Supp@ITS.JNJ.com>. Cabral. Mariana [CONBR] <MCabral4@its.jnj.com>. Kadam. Santosha [CONIN] <SKadam3@its.jnj.com>. Dubey. Priti [CONIN] <PDUBEY7@ITS.JNJ.com>. Rawoot. Yasmeen [CONIN] <YRawoot@its.jnj.com>. Pawar. Vidhya [CONIN] <vpawar11@ITS.JNJ.com>. DL- Business Support LA <DL-CONBR-BusinessSupportLA@its.jnj.com>. Mitkari. Shivani [CONIN] <SMitkari@its.jnj.com>. Giammo'. Annalisa [CONIT] <agiammo@ITS.JNJ.com>. Pandey. Poonam [CONIN] <PPandey@its.jnj.com>
Cc. Spruill. Sharell [CPCUS] <SSpruill@its.jnj.com>. Narasimhan. Saroja [CPCUS] <SNarasim@its.jnj.com>. Nilankar. Priyanka [CPCUS Non-J&J] <pnilanka@ITS.JNJ.com>. Bhosekar. Dhanashree [CPCUS Non-J&J] <dbhoseka@ITS.JNJ.com>. Mittal. Sandeep [CONIN Non J&J] <smittal6@its.jnj.com>. Sawant. Vineet [CPCUS Non-J&J] <VSawant7@its.jnj.com>
Subject. FW. Shelf-life extension SymSave H and Extrapone Papaya

Hello Team.

Please find attached triage meeting global template for Symrise shelf life extension for Symsave H and Extrapone papaya
Feel free to contact me in case you have any query

Best regards.
Priyanka Nilankar
"
